date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:20	72643/72643	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/index-2.html	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/index-2.html	(from )
22:56:21	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2016:00:05%20GMT	https://wphix.com/robots.txt		(from )
22:56:21	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/img/favicon.ico	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/img/favicon.ico	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:21	110143/110143	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/bootstrap.min.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/bootstrap.min.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:21	77368/77368	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/animate.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/animate.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:21	16819/16819	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/jquery-ui.min.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/jquery-ui.min.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:22	2855/2855	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/meanmenu.min.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/meanmenu.min.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:22	7642/7642	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/owl.carousel.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/owl.carousel.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:22	1776/1776	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/slick.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/slick.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:22	27466/27466	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/font-awesome.min.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/css/font-awesome.min.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
22:56:22	67027/67027	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/style.css	C:/aaaaaaa/yoooooo/wphix.com/template/pabna/pabna/style.css	(from https://wphix.com/template/pabna/pabna/index-2.html)
